    #         X           Y           Z       CHARGE      MIN DIST   ATOMIC VOL
 --------------------------------------------------------------------------------
    1    8.244563   -4.245718    3.966705   12.478750     0.913079    10.264287
    2    8.842619   -1.650294    1.992543   12.471987     0.913757    11.785435
    3    1.780096    1.533929    4.408081   11.422936     0.915338    12.323910
    4    2.549282   -2.273584    1.185924   11.402720     0.897313    10.605339
    5   15.631560   -9.261873    3.068095   11.394162     0.926024    10.611439
    6   14.473442   -5.282614    6.184408    7.525289     0.862266    11.464070
    7    7.914084    2.237274    5.198839   14.576855     0.877796     9.627656
    8   13.665849   -3.391226    3.557181    6.116255     0.860826     8.160854
    9    4.405814    5.940264    4.870475    6.083053     0.904113    10.411244
   10    4.687868   -0.204693    3.697778    6.085859     0.926183     9.730526
   11    6.122611   -6.211879    1.570935    6.083004     0.881399    10.076292
   12    9.951388   -9.888947    3.438430    6.115253     0.915737     8.399036
   13    9.460902   -7.768276    1.047818    6.099934     0.887951     8.481388
   14    4.630237   -4.385714    4.563064    6.088191     0.966910     9.898280
   15   11.802722  -10.312412    5.667475    6.098745     0.947401     9.423302
   16   11.858023   -3.461175    1.305075    6.098421     0.951993     9.078090
   17   10.824041   -6.769549    6.092608    6.085345     0.940794     9.587451
   18    0.163843    1.616110    5.801557    7.898567     0.960763    16.570981
   19   -0.218396   -0.703585    3.980350    7.951571     1.111604    22.654466
   20    0.975326   -2.488979    5.179990    7.848722     1.018289    14.616447
   21    1.229584   -2.260756    2.788272    7.910655     0.944506    18.711847
   22    1.879162   -0.142282    0.949925    7.922665     1.057516    18.657500
   23    2.145148    1.911964    2.232579    7.880026     1.057266    15.299937
   24    2.184646   -0.564127    4.260635    7.890641     0.991185    19.426947
   25    3.799567    1.792237    4.843588    7.883940     0.957163    20.448163
   26    4.116191    0.577026    1.621654    7.952501     1.138786    22.395488
   27    4.361107    3.699183    3.401123    7.915529     1.034298    19.065376
   28    4.914296    3.782658    5.733940    7.917947     1.039088    19.015744
   29    4.610076   -2.374068    2.164497    7.928401     1.104592    18.403790
   30    6.083916    2.172931    4.252321    7.878920     1.010997    19.392287
   31    5.670811   -3.919113    0.540451    7.903175     1.073882    16.304794
   32    6.348177   -3.900528    2.872563    7.911928     1.051086    15.578879
   33    6.340298   -1.030666    4.932831    7.953470     1.115135    21.220106
   34    6.862715   -4.201269    5.570909    7.903009     0.979610    15.476009
   35    6.898331   -2.006368    1.411177    7.886359     0.963881    20.894581
   36    7.884986   -6.299482    3.580202    7.910337     0.995855    17.334051
   37    7.064509   -8.250128    4.798738    7.953278     1.084245    20.407403
   38    8.587976    0.392581    2.114565    7.887636     0.987010    20.697714
   39    8.199930   -8.542837    2.723198    7.931752     1.079197    18.326430
   40    8.486371   -2.002236    4.252228    7.874951     1.079910    16.471161
   41    8.449824    0.187564    5.337131    7.893207     1.012074    18.148140
   42    8.194408   -5.682641    0.689057    7.950792     1.097954    19.826505
   43    9.115362   -3.827501    2.048805    7.857182     1.005084    13.875836
   44    9.172780    2.281530    3.578750    7.879037     0.949333    15.952928
   45    9.479719   -7.857973    4.652252    7.948927     1.109081    21.965984
   46    9.638693    2.387993    1.210616    7.857853     1.009594    14.704898
   47   10.913319    0.889758    2.691930    7.951254     1.098428    21.297466
   48   10.060627   -4.689839    5.049487    7.888016     1.031770    17.342924
   49   10.621552   -1.561691    0.766234    7.891287     0.986599    17.314087
   50   10.575219   -5.599924    1.255663    7.956712     1.126914    21.887792
   51   11.461842   -3.172426    3.734256    7.947178     1.119532    20.468404
   52   11.186975   -2.864189    6.172008    7.962008     1.141597    22.056932
   53   11.280212   -8.986004    1.772784    7.948471     1.104794    21.662087
   54   12.505735   -4.738065    5.275703    7.906633     1.081724    19.115841
   55   12.273752  -11.034713    0.909294    7.876719     1.034979    20.320061
   56   12.210581  -10.567852    3.348546    7.945367     1.128862    21.182950
   57   12.772506   -8.060150    5.715025    7.951657     1.120806    21.082021
   58   13.702128   -9.310692    1.838655    7.926881     1.079669    18.372735
   59   14.018416   -5.556707    2.314071    7.954808     1.124530    22.322841
   60   14.648357   -9.452847    5.015949    7.891214     1.019956    15.459927
   61   15.060685   -7.242308    6.004178    7.875259     0.976732    18.557125
   62   15.327363   -4.871158    4.255456    7.885284     1.042648    17.086164
   63   16.399980   -5.009165    2.141431    7.875367     0.957539    17.608834
   64   15.713227   -7.072738    3.257146    7.940241     1.048705    18.902337
   65   16.990971   -8.894298    1.481782    7.915909     0.969486    19.453011
   66    1.012866   -1.492952    4.020967    0.000000     0.000000     0.000000
   67    2.792489    1.003750    1.192771    0.000000     0.000000     0.000000
   68    4.804447    2.874372    4.557961    0.000000     0.000000     0.000000
   69    5.872664   -3.034924    1.741774    0.000000     0.000000     0.000000
   70    7.755412   -1.128531    5.267937    0.000000     0.000000     0.000000
   71    8.163400   -7.708769    3.978533    0.000000     0.000000     0.000000
   72    9.580390    1.453030    2.405299    0.000000     0.000000     0.000000
   73    9.371463   -4.827545    0.917013    0.000000     0.000000     0.000000
   74   11.316489   -3.817797    5.059058    0.000000     0.000000     0.000000
   75   12.361574   -9.965604    2.000309    0.000000     0.000000     0.000000
   76   14.156725   -8.450692    6.042386    0.000000     0.000000     0.000000
   77   15.333432   -5.689186    2.966047    0.000000     0.000000     0.000000
 --------------------------------------------------------------------------------
    VACUUM CHARGE:               0.0000
    VACUUM VOLUME:               0.0000
    NUMBER OF ELECTRONS:       522.0000
